DATE,NYNGSP
1997-01-01,718804.0
1998-01-01,744716.1
1999-01-01,792569.0
2000-01-01,836201.5
2001-01-01,873780.7
2002-01-01,884104.3
2003-01-01,902544.3
2004-01-01,952281.8
2005-01-01,1012180.8
2006-01-01,1068634.7
2007-01-01,1109748.6
2008-01-01,1101636.8
2009-01-01,1150993.9
2010-01-01,1212485.1
2011-01-01,1237277.6
2012-01-01,1323400.8
2013-01-01,1361962.9
2014-01-01,1425724.1
2015-01-01,1485620.8
2016-01-01,1545987.7
2017-01-01,1608890.2
2018-01-01,1705010.2
2019-01-01,1772260.7
2020-01-01,1699044.7
