State;Y2021;Y2018;Y2010;Y2000;Y1990
Alabama;4934190;4887680;4785440;4447100;4040587
Alaska;724357;735139;713910;626932;550043
Arizona;7520100;7158020;6407170;5130632;3665228
Arkansas;3033950;3009730;2921960;2673400;2350725
California;39613500;39461600;37319500;33871648;29760021
Colorado;5893630;5691290;5047350;4301261;3294394
Connecticut;3552820;3571520;3579110;3405565;3287116
Delaware;990334;965479;899593;783600;666168
District of Columbia;714153;701547;605226;572059;606900
Florida;21944600;21244300;18845500;15982378;12937926
Georgia;10830000;10511100;9711880;8186453;6478216
Hawaii;1406430;1420590;1363960;1211537;1108229
Idaho;1860120;1750540;1570750;1293953;1006749
Illinois;12569300;12723100;12840500;12419293;11430602
Indiana;6805660;6695500;6490430;6080485;5544159
Iowa;3167970;3148620;3050740;2926324;2776755
Kansas;2917220;2911360;2858190;2688418;2477574
Kentucky;4480710;4461150;4348180;4041769;3685296
Louisiana;4627000;4659690;4544530;4468976;4219973
Maine;1354520;1339060;1327630;1274923;1227928
Maryland;6065440;6035800;5788640;5296486;4781468
Massachusetts;6912240;6882640;6566310;6349097;6016425
Michigan;9992430;9984070;9877510;9938444;9295297
Minnesota;5706400;5606250;5310830;4919479;4375099
Mississippi;2966410;2981020;2970550;2844658;2573216
Missouri;6169040;6121620;5995970;5595211;5117073
Montana;1085000;1060660;990697;902195;799065
Nebraska;1952000;1925610;1829540;1711263;1578385
Nevada;3185790;3027340;2702400;1998257;1201833
New Hampshire;1372200;1353460;1316760;1235786;1109252
New Jersey;8874520;8886020;8799450;8414350;7730188
New Mexico;2105000;2092740;2064550;1819046;1515069
New York;19300000;19530400;19399900;18976457;17990455
North Carolina;10701000;10381600;9574320;8049313;6628637
North Dakota;770026;758080;674715;642200;638800
Ohio;11714600;11676300;11539300;11353140;10847115
Oklahoma;3990440;3940240;3759940;3450654;3145585
Oregon;4289440;4181890;3837490;3421399;2842321
Pennsylvania;12804100;12800900;12711200;12281054;11881643
Puerto Rico;3194370;3193350;3721520;3808610;3522037
Rhode Island;1061510;1058290;1053960;1048319;1003464
South Carolina;5277830;5084160;4635650;4012012;3486703
South Dakota;896581;878698;816166;754844;696004
Tennessee;6944260;6771630;6355310;5689283;4877185
Texas;29730300;28628700;25242000;20851820;16986510
Utah;3310770;3153550;2775330;2233169;1722850
Vermont;623251;624358;625879;608827;562758
Virginia;8603980;8501290;8023700;7078515;6187358
Washington;7796940;7523870;6742830;5894121;4866692
West Virginia;1767860;1804290;1854240;1808344;1793477
Wisconsin;5852490;5807410;5690480;5363675;4891769
Wyoming;581075;577601;564487;493782;453588
